day,location,occupy_0000,occupy_0100,occupy_0200,occupy_0300,occupy_0400,occupy_0500,occupy_0600,occupy_0700,occupy_0800,occupy_0900,occupy_1000,occupy_1100,occupy_1200,occupy_1300,occupy_1400,occupy_1500,occupy_1600,occupy_1700,occupy_1800,occupy_1900,occupy_2000,occupy_2100,occupy_2200,occupy_2300
sat,toa_payoh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26425,0.29285,0.3714,0.4571,0.49284999999999995,0.5714,0.5642499999999999,0.4857,0.4714,0.5571,0.5143,0.0,0.0,0.0,0.0
sun,toa_payoh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1857,0.37855000000000005,0.5,0.49284999999999995,0.49284999999999995,0.52145,0.4571,0.4714,0.57855,0.6143,0.4143,0.0,0.0,0.0,0.0
mon,woodlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.27,0.39,0.44,0.48,0.47,0.46,0.5,0.51,0.54,0.62,0.65,0.74,0.82,0.64,0.0,0.0
tue,woodlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.4,0.4,0.38,0.4,0.44,0.49,0.55,0.59,0.7,0.8,0.88,0.7,0.0,0.0
wed,woodlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.27,0.37,0.4,0.42,0.4,0.4,0.44,0.49,0.53,0.59,0.64,0.71,0.8,0.59,0.0,0.0
thu,woodlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.38,0.39,0.39,0.4,0.42,0.46,0.51,0.56,0.61,0.7,0.76,0.33,0.0,0.0
fri,woodlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.24,0.35,0.4,0.42,0.41,0.44,0.51,0.56,0.54,0.52,0.56,0.63,0.71,0.55,0.0,0.0
sat,woodlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.59,0.61,0.57,0.56,0.56,0.61,0.66,0.67,0.7,0.6,0.0,0.0,0.0,0.0
sun,woodlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.6,0.58,0.58,0.59,0.58,0.61,0.64,0.68,0.73,0.6,0.0,0.0,0.0,0.0
mon,delta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2706,0.34119999999999995,0.3882,0.4824,0.4471,0.4235,0.4,0.4118,0.4471,0.4471,0.4706,0.5765,0.8118000000000001,0.7646999999999999,0.5412,0.3529,0.3529
